"SLOVENIJA IN TUJINA";"Štipendije - SKUPAJ";"Vrsta štipendije - SKUPAJ";177;174;181;181;191;192;151
"SLOVENIJA IN TUJINA";"Štipendije - SKUPAJ";"Kadrovske štipendije - Skupaj";243;253;284;300;293;304;328
"SLOVENIJA IN TUJINA";"Štipendije - SKUPAJ";"Kadrovske štipendije sofinancirane posredno";239;248;294;305;297;302;302
"SLOVENIJA IN TUJINA";"Štipendije - SKUPAJ";"Kadrovske štipendije sofinancirane neposredno";201;231;267;292;285;313;362
"SLOVENIJA IN TUJINA";"Štipendije - SKUPAJ";"Kadrovske štipendije nesofinancirane";248;258;284;299;293;303;336
"SLOVENIJA IN TUJINA";"Štipendije - SKUPAJ";"Državne štipendije";156;155;158;161;182;182;129
"SLOVENIJA IN TUJINA";"Štipendije - SKUPAJ";"Zoisove štipendije";187;186;201;195;141;149;152
"SLOVENIJA IN TUJINA";"Štipendije - SKUPAJ";"Štipendije za Slovence v zamejstvu in po svetu";227;220;220;202;205;185;195
"SLOVENIJA IN TUJINA";"Štipendije - SKUPAJ";"Drugo";395;493;321;1177;344;1030;916
"SLOVENIJA IN TUJINA";"Dijaki";"Vrsta štipendije - SKUPAJ";148;146;150;151;146;147;109
"SLOVENIJA IN TUJINA";"Dijaki";"Kadrovske štipendije - Skupaj";188;195;225;228;224;229;250
"SLOVENIJA IN TUJINA";"Dijaki";"Kadrovske štipendije sofinancirane posredno";184;188;214;217;212;212;205
"SLOVENIJA IN TUJINA";"Dijaki";"Kadrovske štipendije sofinancirane neposredno";141;183;216;229;224;251;287
"SLOVENIJA IN TUJINA";"Dijaki";"Kadrovske štipendije nesofinancirane";194;201;231;233;231;232;265
"SLOVENIJA IN TUJINA";"Dijaki";"Državne štipendije";144;142;144;147;162;162;100
"SLOVENIJA IN TUJINA";"Dijaki";"Zoisove štipendije";139;139;149;142;98;98;113
"SLOVENIJA IN TUJINA";"Dijaki";"Štipendije za Slovence v zamejstvu in po svetu";0;0;0;200;0;0;-
"SLOVENIJA IN TUJINA";"Dijaki";"Drugo";270;425;758;704;264;511;526
"SLOVENIJA IN TUJINA";"Študentje";"Vrsta štipendije - SKUPAJ";212;209;220;220;217;221;210
"SLOVENIJA IN TUJINA";"Študentje";"Kadrovske štipendije - Skupaj";279;287;320;343;338;355;377
"SLOVENIJA IN TUJINA";"Študentje";"Kadrovske štipendije sofinancirane posredno";283;288;351;362;357;364;359
"SLOVENIJA IN TUJINA";"Študentje";"Kadrovske štipendije sofinancirane neposredno";268;266;304;330;327;355;405
"SLOVENIJA IN TUJINA";"Študentje";"Kadrovske štipendije nesofinancirane";279;291;313;337;332;350;380
"SLOVENIJA IN TUJINA";"Študentje";"Državne štipendije";175;177;180;182;192;192;177
"SLOVENIJA IN TUJINA";"Študentje";"Zoisove štipendije";226;225;248;244;186;201;204
"SLOVENIJA IN TUJINA";"Študentje";"Štipendije za Slovence v zamejstvu in po svetu";227;220;220;202;205;185;195
"SLOVENIJA IN TUJINA";"Študentje";"Drugo";441;508;314;1201;345;1114;1166
"SLOVENIJA IN TUJINA";"Neznano";"Vrsta štipendije - SKUPAJ";0;221;269;312;242;256;530
"SLOVENIJA IN TUJINA";"Neznano";"Kadrovske štipendije - Skupaj";0;0;388;213;290;500;500
"SLOVENIJA IN TUJINA";"Neznano";"Kadrovske štipendije sofinancirane posredno";0;0;347;0;0;0;-
"SLOVENIJA IN TUJINA";"Neznano";"Kadrovske štipendije sofinancirane neposredno";0;0;0;0;290;500;500
"SLOVENIJA IN TUJINA";"Neznano";"Kadrovske štipendije nesofinancirane";0;0;612;213;0;0;-
"SLOVENIJA IN TUJINA";"Neznano";"Državne štipendije";0;174;190;178;225;223;170
"SLOVENIJA IN TUJINA";"Neznano";"Zoisove štipendije";0;124;312;311;294;307;319
"SLOVENIJA IN TUJINA";"Neznano";"Štipendije za Slovence v zamejstvu in po svetu";0;0;0;0;0;0;-
"SLOVENIJA IN TUJINA";"Neznano";"Drugo";0;365;0;2075;0;0;796
